OMIM_gtex_name,miura_tissue_group
,
adipose_subcutaneous,adipose
,
adipose_visceral_omentum,adipose
,
adrenal_gland,adrenal
,
artery_aorta,artery
,
artery_coronary,artery
,
artery_tibial,artery
,
bladder,bladder
,
amygdala,brain
,
anteriorcingulatecortexba24,brain
,
caudatebasalganglia,brain
,
brain_cerebellar_hemisphere,brain
,
brain_cerebellum,brain
,
cortex,brain
,
frontalcortexba9,brain
,
hippocampus,brain
,
hypothalamus,brain
,
nucleusaccumbensbasalganglia,brain
,
putamenbasalganglia,brain
,
spinalcordcervicalc-1,brain
,
substantianigra,brain
,
breast_mammary_tissue,breast
,
cells_ebv_transformed_lymphocytes,cells
,
cells_leukemia_cell_line_cml,cells
,
cells_transformed_fibroblasts,cells
,
cervix_ectocervix,cervix
,
cervix_endocervix,cervix
,
colon_sigmoid,colon
,
colon_transverse,colon
,
esophagus_gastroesophageal_junction,esophagus
,
esophagus_mucosa,esophagus
,
esophagus_muscularis,esophagus
,
fallopian_tube,fallopian
,
heart_atrial_appendage,heart
,
heart_left_ventricle,heart
,
kidney_cortex,kidney
,
liver,liver
,
lung,lung
,
minor_salivary_gland,minor
,
muscle_skeletal,skeletal_muscle
,
nerve_tibial,nerve
,
ovary,ovary
,
pancreas,pancreas
,
pituitary,pituitary
,
prostate,prostate
,
skin_not_sun_exposed_suprapubic,skin
,
skin_sun_exposed_lower_leg,skin
,
small_intestine_terminal_ileum,small
,
spleen,spleen
,
stomach,stomach
,
testis,testis
,
thyroid,thyroid
,
uterus,uterus
,
vagina,vagina
,
whole_blood,white_blood_cells
